COD_UF,COD_MUNICIPIO,NOME_MUNICIPIO,POPULACAO
35,25409,Jeriquara,3143
35,25508,Joanópolis,13453
35,25607,João Ramalho,4577
35,25706,José Bonifácio,37707
35,25805,Júlio Mesquita,4824
35,25854,Jumirim,3467
35,25904,Jundiaí,426935
35,26001,Junqueirópolis,20978
35,26100,Juquiá,18627
35,26209,Juquitiba,31844
35,26308,Lagoinha,4882
35,26407,Laranjal Paulista,29047
35,26506,Lavínia,12581
35,26605,Lavrinhas,7361
35,26704,Leme,105273
35,26803,Lençóis Paulista,69533
35,26902,Limeira,310783
35,27009,Lindóia,8201
35,27108,Lins,78978
35,27207,Lorena,89532
35,27256,Lourdes,2311
35,27306,Louveira,51007
35,27405,Lucélia,22022
35,27504,Lucianópolis,2412
35,27603,Luís Antônio,15628
35,27702,Luiziânia,5918
35,27801,Lupércio,4608
35,27900,Lutécia,2623
35,28007,Macatuba,17263
35,28106,Macaubal,8174
35,28205,Macedônia,3686
35,28304,Magda,3086
35,28403,Mairinque,47723
35,28502,Mairiporã,103645
35,28601,Manduri,9972
35,28700,Marabá Paulista,6039
35,28809,Maracaí,14069
35,28858,Marapoama,3097
35,28908,Mariápolis,4098
35,29005,Marília,242249
35,29104,Marinópolis,2101
35,29203,Martinópolis,26791
35,29302,Matão,84069
35,29401,Mauá,481725
35,29500,Mendonça,5638
35,29609,Meridiano,3813
35,29658,Mesópolis,1903
35,29708,Miguelópolis,22480
35,29807,Mineiros do Tietê,13023
35,29906,Miracatu,19511
35,30003,Mira Estrela,3125
35,30102,Mirandópolis,29844
35,30201,Mirante do Paranapanema,18415
35,30300,Mirassol,60768
35,30409,Mirassolândia,4966
35,30508,Mococa,69072
35,30607,Mogi das Cruzes,455587
35,30706,Mogi Guaçu,154146
35,30805,Mogi Mirim,94098
35,30904,Mombuca,3523
35,31001,Monções,2274
35,31100,Mongaguá,58567
35,31209,Monte Alegre do Sul,8181
35,31308,Monte Alto,51039
35,31407,Monte Aprazível,25651
35,31506,Monte Azul Paulista,18928
35,31605,Monte Castelo,4166
35,31704,Monteiro Lobato,4739
35,31803,Monte Mor,61707
35,31902,Morro Agudo,33598
35,32009,Morungaba,13936
35,32058,Motuca,4831
35,32108,Murutinga do Sul,4525
35,32157,Nantes,3215
35,32207,Narandiba,4950
35,32306,Natividade da Serra,6624
35,32405,Nazaré Paulista,18866
35,32504,Neves Paulista,8917
35,32603,Nhandeara,11575
35,32702,Nipoã,5381
35,32801,Nova Aliança,7161
35,32827,Nova Campina,9962
35,32843,Nova Canaã Paulista,1824
35,32868,Nova Castilho,1290
35,32900,Nova Europa,11519
35,33007,Nova Granada,21871
35,33106,Nova Guataporanga,2333
35,33205,Nova Independência,4135
35,33254,Novais,6057
35,33304,Nova Luzitânia,4217
35,33403,Nova Odessa,61716
35,33502,Novo Horizonte,41765
35,33601,Nuporanga,7522
35,33700,Ocauçu,4294
35,33809,Óleo,2447
35,33908,Olímpia,55477
35,34005,Onda Verde,4462
35,34104,Oriente,6569
35,34203,Orindiúva,7318
35,34302,Orlândia,44682
35,34401,Osasco,701428
35,34500,Oscar Bressane,2603
35,34609,Osvaldo Cruz,33118
35,34708,Ourinhos,115139
35,34757,Ouroeste,10712
35,34807,Ouro Verde,8676
35,34906,Pacaembu,14326
35,35002,Palestina,13285
35,35101,Palmares Paulista,13691
35,35200,Palmeira d'Oeste,9173
35,35309,Palmital,22322
35,35408,Panorama,15944
35,35507,Paraguaçu Paulista,46180
35,35606,Paraibuna,18302
35,35705,Paraíso,6536
